Risk,Plugin Output,FQDN
,"The remote clock is synchronized with the local clock.
",masoolin-vm-u22.habana-labs.com
,,masoolin-vm-u22.habana-labs.com
,"
SSH version : SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.3
SSH supported authentication : publickey,password
",masoolin-vm-u22.habana-labs.com
,"For your information, here is the traceroute from 10.111.2.200 to 10.111.59.72 : 
10.111.2.200
10.111.2.1
10.111.59.72

Hop Count: 2
",masoolin-vm-u22.habana-labs.com
,"The remote SSH daemon supports the following versions of the
SSH protocol :

  - 1.99
  - 2.0
",masoolin-vm-u22.habana-labs.com
,"
  An NTP service has been discovered, listening on port 123.

  No sensitive information has been disclosed.

  Version : unknown
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on UDP port 41433 :

 - program: 100021 (nlockmgr), version: 1
 - program: 100021 (nlockmgr), version: 3
 - program: 100021 (nlockmgr), version: 4
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on TCP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on TCP port 44575 :

 - program: 100021 (nlockmgr), version: 1
 - program: 100021 (nlockmgr), version: 3
 - program: 100021 (nlockmgr), version: 4
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on TCP port 39641 :

 - program: 100024 (status), version: 1
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on UDP port 111 :

 - program: 100000 (portmapper), version: 4
 - program: 100000 (portmapper), version: 3
 - program: 100000 (portmapper), version: 2
",masoolin-vm-u22.habana-labs.com
,"
The following RPC services are available on UDP port 55530 :

 - program: 100024 (status), version: 1
",masoolin-vm-u22.habana-labs.com
,"
Remote operating system : Linux Kernel 5.15.0-75-generic on Ubuntu 22.04
Confidence level : 100
Method : LinuxDistribution

Not all fingerprints could give a match. If you think some or all of
the following could be used to identify the host's operating system,
please email them to os-signatures@nessus.org. Be sure to include a
brief description of the host itself, such as the actual operating
system or product / model names.

SSH:!:SSH-2.0-OpenSSH_8.9p1 Ubuntu-3ubuntu0.3
uname:Linux masoolin-vm-u22 5.15.0-75-generic #82-Ubuntu SMP Tue Jun 6 23:10:23 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux

NTP:!:unknown
SinFP:!:
   P1:B10113:F0x12:W64240:O0204ffff:M1420:
   P2:B10113:F0x12:W65160:O0204ffff0402080affffffff4445414401030307:M1420:
   P3:B00000:F0x00:W0:O0:M0
   P4:190504_7_p=22R

 
The remote host is running Linux Kernel 5.15.0-75-generic on Ubuntu 22.04",masoolin-vm-u22.habana-labs.com
,"
10.111.59.72 resolves as masoolin-vm-u22.habana-labs.com.
",masoolin-vm-u22.habana-labs.com
,"Information about this scan : 

Nessus version : 10.5.4
Nessus build : 20013
Plugin feed version : 202309051007
Scanner edition used : Nessus
Scanner OS : LINUX
Scanner distribution : ubuntu1404-x86-64
Scan type : Normal
Scan name : ma_Habana_new_scanoscnyzyjte
Scan policy used : Advanced Network Scan
Scanner IP : 10.111.2.200

WARNING : No port scanner was enabled during the scan. This may
lead to incomplete results.

Port range : default
Ping RTT : Unavailable
Thorough tests : no
Experimental tests : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : yes, as 'root' via ssh
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 100
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Nessus Plugin Signature Checking : Enabled
Audit File Signature Checking : Disabled
Scan duration : unknown
Scan for malware : no
",masoolin-vm-u22.habana-labs.com
,"
The remote host is a VMware virtual machine.
",masoolin-vm-u22.habana-labs.com
